a,b,y
3.7127631943342188,0.5531936955511467,1
12.25382418540724,5.803978726889404,0
7.586192647672057,13.760357824161565,2
4.732596880663122,7.155487611952525,1
10.277548629890594,8.820129906198067,0
11.304175701347695,5.31269793820796,0
10.729063696204943,10.621101630900124,2
10.61086428053727,4.700730919344658,0
2.9094932677060905,7.422290579365402,1
4.4629230986459385,12.710963585487539,2
15.84588405296077,7.961029582868848,0
12.712732794348804,6.413146336383896,0
7.062271624066408,7.597117428998884,2
14.278801369086601,2.5303483592926947,0
9.859010222959057,13.164449182795849,2
11.039989721531546,15.43917861483239,2
12.416549956153721,6.953278072967425,0
11.793562296412885,5.821197003876745,0
10.638273752603151,10.235162362900162,2
6.572655924217952,4.067161806528114,1
7.464532926212067,9.743977337059986,2
11.376894935745256,5.112330684459491,0
4.00393509861539,8.859064107633971,1
8.39860039379293,11.898792918076667,2
9.705062695177794,4.1243599105111315,0
16.766289549727883,6.888958973980827,0
9.396914298214671,12.00754177817254,2
1.8341232053298362,6.22075875821441,1
9.902894069865814,2.1599641256420496,0
15.766301394112508,2.3044818777151073,0
15.065558428716916,7.93871753980057,0
14.976504387591199,8.791778352061167,0
12.091517034602893,4.625632299948332,0
9.629039644975732,12.11785117836326,2
13.458181124355074,5.257965821514821,0
7.040688371984105,13.240716596687026,2
11.94363554332269,5.856663741060835,0
3.9142770479665643,5.832100092522851,1
6.383077502140373,6.389498287312012,1
9.017484814588789,5.8787834025290735,0
12.596476348412113,7.652771793374061,0
10.651334678685249,5.063661116548702,0
12.333346990745058,6.270062873784212,0
5.559849198086477,4.803699220714084,1
9.751665523174662,11.769785063025546,2
12.79201342532329,2.8138769825389884,0
11.863516789350738,8.426685443298734,0
15.528104691935328,5.800314416734446,0
3.8107938575877105,12.247443828467013,2
3.725125948895542,4.205456371342405,1
10.655079104448099,4.280893676918917,0
4.488218833124561,12.90186892361183,2
6.332766164063829,4.078560425222894,1
9.368185178976958,4.0768307903705825,0
8.926260658637215,12.558191528784906,2
9.653753189771681,8.887242371298585,0
6.43474168834495,11.779221401946225,2
2.331483057194493,2.3065649884048893,1
16.539509247975214,2.0912686508024705,0
5.283906326641559,4.36134316570981,1
6.042129752905517,3.8484240603738677,1
3.1111074881634995,4.179900613594903,1
11.225346365184095,4.3953944988493285,0
9.494376668409263,9.622110089592528,2
10.728307843242238,6.352866589892999,0
3.422759919970943,12.502968830043073,2
6.994366598714923,16.824907359087497,2
10.373707435911092,1.5474347953366463,0
9.494409279900147,6.55498071166382,0
12.354852284507505,4.196438127583476,0
9.669700318433287,6.801652973908374,0
9.858494756978915,7.108903453862274,0
6.631978204525566,15.319101592379745,2
8.739603306067911,5.925564511051548,0
7.381771110456582,11.533066676912615,2
9.157042995457758,12.699308913986348,2
7.8281384660567745,12.388585876091543,2
6.820357816185184,5.634436430382604,1
10.185403271233515,5.103890791592278,0
4.313860899686703,11.044051991919027,2
2.746348382486513,3.5386444942703505,1
10.137018798632019,11.093228392297224,2
10.51049035590312,3.3471229226819714,0
10.460167851109368,6.078498382583635,0
7.618693012837201,11.2103009719331,2
13.894503935547496,4.689979813818332,0
3.373271481591594,2.067151344394972,1
8.098989963300182,12.987673552561912,2
9.32647189856138,7.673055898872784,1
3.69518283522596,4.218093249624798,1
4.7789186855350545,7.040345423431599,1
9.863696748228607,12.679929967602524,2
6.624324777942635,9.57184519381176,2
2.6816555240065183,13.212639048718762,2
6.250462902054375,1.7958846887865048,1
5.685289481618293,11.375415497748614,2
7.118154735414818,11.439289009630983,2
10.257188129029137,12.992001892687924,2
4.915657097418842,4.426225615220185,1
6.471712152187114,9.124417052396844,2
